start_distance,end_distance,gradient
16.05000000000001,17.850000000000023,-8.18
45.14999999999998,46.35000000000002,10.23
87.94999999999999,89.64999999999998,9.02
98.64999999999998,100.94999999999999,7.7
111.14999999999998,112.64999999999998,-9.0
114.25,115.85000000000002,-10.0
119.64999999999998,120.75,9.52
120.75,121.94999999999999,-9.98
172.25,174.05,-7.56
178.85000000000002,180.05,-8.46
187.05,188.35000000000002,10.96
188.35000000000002,190.75,-3.8
207.45,212.14999999999998,-4.63
217.55,219.75,9.4
256.25,257.35,8.82
264.05,265.05,-9.29
270.85,272.15,-11.33
293.95,295.35,8.44
306.65,309.65,-8.82
315.95,317.35,8.32
352.65,354.35,12.09
355.35,357.45,10.73
357.45,363.25,-7.14
368.45,370.05,9.31
373.65,375.95,-13.27
375.95,381.95,-4.13
381.95,383.15,10.87
402.95,405.25,5.15
405.25,406.45,-8.23
418.55,420.15,8.48
420.15,422.35,-8.54
425.65,427.85,6.26
428.15,429.95,-9.05
435.45,438.25,12.46
442.75,445.45,-8.99
453.25,455.85,7.51
458.95,460.75,-11.93
479.65,481.45,-7.52
481.45,484.25,7.01
484.25,498.25,-6.42
498.95,505.75,5.85
