start_distance,end_distance,gradient
0.0,6.8,-5.85
7.5,21.5,6.42
21.5,24.3,-7.01
24.3,26.1,7.52
45.0,46.8,11.93
49.9,52.5,-7.51
60.3,63.0,8.99
67.5,70.3,-12.46
75.8,77.6,9.05
77.9,80.1,-6.26
83.4,85.6,8.54
85.6,87.2,-8.48
99.3,100.5,8.23
100.5,102.8,-5.15
122.6,123.8,-10.87
123.8,129.8,4.13
129.8,132.1,13.27
135.7,137.3,-9.31
142.5,148.3,7.14
148.3,150.4,-10.73
151.4,153.1,-12.09
188.4,189.8,-8.32
196.1,199.1,8.82
210.4,211.8,-8.44
233.6,234.9,11.33
240.7,241.7,9.29
248.4,249.5,-8.82
286.0,288.2,-9.4
293.6,298.3,4.63
315.0,317.4,3.8
317.4,318.7,-10.96
325.7,326.9,8.46
331.7,333.5,7.56
383.8,385.0,9.98
385.0,386.1,-9.52
389.9,391.5,10.0
393.1,394.6,9.0
404.8,407.1,-7.7
416.1,417.8,-9.02
459.4,460.6,-10.23
487.9,489.7,8.18
